farm_id,crop_type,soil_moisture_%,soil_pH,temperature_C,water_mm,humidity_%,sunlight_hours,sowing_date,harvest_date,total_days,yield_kg_per_hectare,NDVI_index,crop_disease_status
FARM0001,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,1/8/2024,5/9/2024,122,4408.07,0.63,Mild
FARM0002,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,2/4/2024,5/26/2024,112,5389.98,0.58,None
FARM0003,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,2/3/2024,6/26/2024,144,2931.16,0.8,Mild
FARM0004,Maize,17.33,6.03,33.73,212.01,70.46,5.03,2/21/2024,7/4/2024,134,4227.8,0.44,None
FARM0005,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,2/5/2024,5/20/2024,105,4979.96,0.84,Severe
FARM0006,Rice,44.91,5.78,24.87,238.95,83.06,4.92,1/13/2024,5/6/2024,114,4383.55,0.82,None
FARM0007,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,3/4/2024,7/27/2024,145,4501.2,0.76,None
FARM0008,Maize,27.1,5.72,22.26,296.33,80.34,5.44,1/24/2024,5/24/2024,121,5264.09,0.7,Mild
FARM0009,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,3/12/2024,7/8/2024,118,5598.46,0.5,Mild
FARM0010,Rice,10.25,6.92,16.18,66.85,41.57,5.98,1/18/2024,4/25/2024,98,4893.41,0.58,Severe
FARM0011,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,2/26/2024,7/20/2024,145,2437.08,0.55,Moderate
FARM0012,Rice,40.61,5.65,31.16,263.99,44.9,7.91,1/6/2024,5/1/2024,116,3942.56,0.4,None
FARM0013,Maize,42.43,7.07,20.7,224.15,76.53,8.7,1/2/2024,5/8/2024,127,4942.95,0.65,Mild
FARM0014,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,3/3/2024,6/27/2024,116,4629.49,0.42,Moderate
FARM0015,Maize,23.85,6.84,21,129.04,77.59,4.44,1/3/2024,5/6/2024,124,2852.62,0.34,Mild
FARM0016,Maize,15.52,7.17,29.07,202.92,89.36,7.92,2/22/2024,5/28/2024,96,5755.72,0.75,Mild
FARM0017,Maize,31.17,6.94,19.07,208.56,53.2,6.93,2/2/2024,5/2/2024,90,3334.23,0.74,Severe
FARM0018,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,2/12/2024,7/8/2024,147,5732.35,0.45,None
FARM0019,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,3/11/2024,7/29/2024,140,5723.26,0.36,None
